tweet,emotion
"Akhirnya bisa makan enak tiap hari, terima kasih Pak Prabowo",1
Makan siang gratis bikin dompet aman dan perut kenyang,1
"Dulu sering skip makan siang, sekarang tiap hari ada makanan bergizi",1
"Nggak perlu pusing mikirin uang makan lagi, ini beneran nolong banyak orang",1
"Makan siang gratis dari pemerintah? Wah, ini baru program yang bener-bener kerasa manfaatnya",1
Kapan lagi makan bergizi tiap hari tanpa harus mikir duit? Salut buat program ini,1
"Sumpah ini berkah banget, makan siang gratis bikin hidup lebih ringan",1
Anak-anak sekolah makin semangat belajar kalau perut kenyang,1
Makan siang gratis ini bukti kalau negara peduli sama rakyat kecil,1
"Punya anak sekolah jadi lebih tenang, nggak khawatir soal bekal lagi",1
"Gizi anak terjamin, masa depan cerah. Program makan gratis ini luar biasa",1
Senang banget lihat adik-adik sekolah bisa makan sehat tiap hari,1
"Nasi hangat, lauk enak, dan gratis pula. Harusnya dari dulu ada program kayak gini",1
Makan siang gratis ini bukti kalau pemerintah bisa bikin kebijakan yang langsung berdampak,1
"Udah nggak perlu lagi bawa bekal seadanya, sekarang bisa makan enak di sekolah",1